Date/Time,BS - ACADEMIC ADMINISTRATION 1:Zone Air Temperature [C](TimeStep),BS - ACADEMIC ADMINISTRATION 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),BS - CLASSROOM 1:Zone Air Temperature [C](TimeStep),BS - CLASSROOM 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),BS - COMPUTER LAB 1:Zone Air Temperature [C](TimeStep),BS - COMPUTER LAB 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),BS - FACULTY LOUNGE 1:Zone Air Temperature [C](TimeStep),BS - FACULTY LOUNGE 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),BS - LIBRARY 1:Zone Air Temperature [C](TimeStep),BS - LIBRARY 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),BS - QA 1:Zone Air Temperature [C](TimeStep),BS - QA 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),BS - LOBBY 1:Zone Air Temperature [C](TimeStep),BS - LOBBY 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),BS - Whole Building:Facility Total HVAC Electricity Demand Rate [W](TimeStep),BS - Whole Building:Facility Total Produced Electricity Rate [W](TimeStep),BS - CLASSROOM - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),BS - COMPUTER LAB - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),BS - FACULTY LOUNGE - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),BS - LIBRARY - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),BS - QA - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),BS - LOBBY - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),BS - ACADEMIC ADMINISTRATION - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep) ,RL - ACADEMIC ADMINISTRATION 1:Zone Air Temperature [C](TimeStep),RL - ACADEMIC ADMINISTRATION 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),RL - CLASSROOM 1:Zone Air Temperature [C](TimeStep),RL - CLASSROOM 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),RL - COMPUTER LAB 1:Zone Air Temperature [C](TimeStep),RL - COMPUTER LAB 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),RL - FACULTY LOUNGE 1:Zone Air Temperature [C](TimeStep),RL - FACULTY LOUNGE 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),RL - LIBRARY 1:Zone Air Temperature [C](TimeStep),RL - LIBRARY 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),RL - QA 1:Zone Air Temperature [C](TimeStep),RL - QA 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),RL - LOBBY 1:Zone Air Temperature [C](TimeStep),RL - LOBBY 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),RL - Whole Building:Facility Total HVAC Electricity Demand Rate [W](TimeStep),RL - Whole Building:Facility Total Produced Electricity Rate [W](TimeStep),RL - CLASSROOM - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),RL - COMPUTER LAB - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),RL - FACULTY LOUNGE - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),RL - LIBRARY - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),RL - QA - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),RL - LOBBY - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),RL - ACADEMIC ADMINISTRATION - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep) 
 03/18  00:15:00,22.27518206,24,22.33454804,24,22.48269235,24,22.40281256,24,21.95688202,24,22.46000204,24,21.53058095,24,0.0,0.0,-0.664612501,-0.752867528,-2.341987378,-1.166924612,-0.507693326,-0.8855741,-0.597069476,22.27518206,26,22.33454804,25,22.48269235,24,22.40281256,23,21.95688202,24,22.46000204,25,21.53058095,26,0.0,0.0,-0.767282393,-0.854162731,-2.48984637,-1.287819447,-0.60911398,-1.003629475,-0.700216781
 03/18  00:30:00,22.26778779,24,22.32905932,24,22.46335426,24,22.40297561,24,21.95228511,24,22.45802725,24,21.55340008,24,0.0,0.0,-0.664540192,-0.757952123,-2.340583668,-1.16535553,-0.507672473,-0.872319945,-0.598008955,22.26778779,26,22.32905932,25,22.46335426,24,22.40297561,23,21.95228511,24,22.45802725,25,21.55340008,26,0.0,0.0,-0.767207786,-0.859390792,-2.488403116,-1.28646051,-0.60908679,-0.989866192,-0.70118279
 03/18  00:45:00,22.26551301,24,22.33074712,24,22.44762487,24,22.40699144,24,21.95733156,24,22.4595356,24,21.59513699,24,0.0,0.0,-0.662916217,-0.762139001,-2.338256809,-1.161795567,-0.506835759,-0.855771707,-0.597990969,22.26551301,26,22.33074712,25,22.44762487,24,22.40699144,23,21.95733156,24,22.4595356,25,21.59513699,26,0.0,0.0,-0.765538096,-0.863695916,-2.486010841,-1.282780971,-0.608226393,-0.972202215,-0.701164656
 03/18  01:00:00,22.25453339,24,22.3248052,24,22.42811638,24,22.39439802,24,21.95941744,24,22.4439321,24,21.643524,24,0.0,0.0,-0.667778242,-0.769501701,-2.348077816,-1.162491567,-0.515225495,-0.838168254,-0.603707226,22.25453339,26,22.3248052,25,22.42811638,24,22.39439802,23,21.95941744,24,22.4439321,25,21.643524,26,0.0,0.0,-0.770539361,-0.871267442,-2.49611246,-1.283381158,-0.616841911,-0.95327001,-0.707043946
 03/18  01:15:00,22.23885309,24,22.31335506,24,22.40920847,24,22.37572348,24,21.95589759,24,22.42284952,24,21.67902185,24,0.0,0.0,-0.67095173,-0.774358839,-2.354436564,-1.164049063,-0.521291384,-0.831703179,-0.607957938,22.23885309,26,22.31335506,25,22.40920847,24,22.37572348,23,21.95589759,24,22.42284952,25,21.67902185,26,0.0,0.0,-0.773800344,-0.876259699,-2.502648609,-1.285042872,-0.623053071,-0.945681655,-0.711412125
 03/18  01:30:00,22.23835548,24,22.31553068,24,22.40372797,24,22.37930998,24,21.95784685,24,22.42515149,24,21.70101442,24,0.0,0.0,-0.665448429,-0.773002902,-2.346634446,-1.160295454,-0.516671287,-0.826241509,-0.603981241,22.23835548,26,22.31553068,25,22.40372797,24,22.37930998,23,21.95784685,24,22.42515149,25,21.70101442,26,0.0,0.0,-0.768137647,-0.874862609,-2.49462102,-1.2812954,-0.618286068,-0.939560856,-0.707319192
 03/18  01:45:00,22.24727537,24,22.32619367,24,22.40784018,24,22.39163995,24,21.96619422,24,22.43605756,24,21.71831332,24,0.0,0.0,-0.663618782,-0.772464975,-2.344796877,-1.157945394,-0.516005793,-0.82120044,-0.602688377,22.24727537,26,22.32619367,25,22.40784018,24,22.39163995,23,21.96619422,24,22.43605756,25,21.71831332,26,0.0,0.0,-0.766255348,-0.874308501,-2.492730637,-1.27867472,-0.617597341,-0.934019912,-0.705988559
 03/18  02:00:00,22.25490647,24,22.33593299,24,22.41271634,24,22.39802522,24,21.9751916,24,22.44055642,24,21.73347396,24,0.0,0.0,-0.662101869,-0.772223553,-2.344618193,-1.156489111,-0.516432216,-0.818107891,-0.601886228,22.25490647,26,22.33593299,25,22.41271634,24,22.39802522,23,21.9751916,24,22.44055642,25,21.73347396,26,0.0,0.0,-0.764694614,-0.874059528,-2.492545787,-1.276904015,-0.618034491,-0.930472201,-0.70516252
 03/18  02:15:00,22.25161524,24,22.33626552,24,22.41067921,24,22.39018779,24,21.97413857,24,22.43095899,24,21.73416702,24,0.0,0.0,-0.664536743,-0.774598785,-2.350760438,-1.160768234,-0.521220044,-0.824124554,-0.605408389,22.25161524,26,22.33626552,25,22.41067921,24,22.39018779,23,21.97413857,24,22.43095899,25,21.73416702,26,0.0,0.0,-0.767198159,-0.876501665,-2.498861621,-1.281134193,-0.622957404,-0.936338391,-0.708783787
 03/18  02:30:00,22.23689545,24,22.32614288,24,22.40005999,24,22.37098487,24,21.95921238,24,22.41065349,24,21.71391682,24,0.0,0.0,-0.669226083,-0.778955574,-2.359931004,-1.168775108,-0.528028776,-0.83523891,-0.611131456,22.23689545,26,22.32614288,25,22.40005999,24,22.37098487,23,21.95921238,24,22.41065349,25,21.71391682,26,0.0,0.0,-0.772019244,-0.880980905,-2.508290837,-1.289547493,-0.629957352,-0.947910137,-0.71466733
